ID_Comentario,Fecha,Producto,Canal_Feedback,Comentario,Rating,Cliente_Tipo,Región,Sentimiento_Clasificado,Tema_Principal_Extraído
29,2024-07-16,Inversión Smart,Email,"Excelente cobertura del seguro, pero el proceso de reclamos es complicado",3,Existente,Norte,,
30,2024-09-06,Crédito Hipotecario,Email,"Muy lentos para aprobar el préstamo, ya van 3 semanas esperando",1,Nuevo,Sur,,
31,2024-12-06,Inversión Smart,App Móvil,"El proceso de apertura de cuenta fue súper rápido, todo digital",5,Existente,Norte,,
32,2024-02-02,Crédito Hipotecario,App Móvil,Buenos productos financieros pero el servicio al cliente es lento,3,Existente,Sur,,
33,2024-03-01,Tarjeta Oro Premium,Call Center,"Las inversiones han dado buenos resultados, plataforma confiable",5,Nuevo,Oeste,,
34,2024-09-15,Inversión Smart,Sitio Web,Los asesores son muy profesionales y me explicaron todo claramente,4,Existente,Oeste,,
35,2024-09-07,Crédito Hipotecario,Email,La interfaz del homebanking es moderna y muy segura,5,Existente,Centro,,
36,2024-11-07,Crédito Hipotecario,Sucursal,Sistema siempre en mantenimiento cuando lo necesito,2,Nuevo,Centro,,
37,2024-01-14,Tarjeta Oro Premium,Sucursal,"Tasas competitivas para el crédito hipotecario, aunque las comisiones son altas",3,Nuevo,Norte,,
38,2024-05-09,Seguro Familiar,Call Center,"La tarjeta tiene beneficios increíbles, cashback en todos lados",5,Existente,Este,,
39,2024-04-19,Seguro Familiar,Sitio Web,La interfaz del homebanking es moderna y muy segura,4,Nuevo,Este,,
40,2024-03-12,Cuenta Digital,Sitio Web,"Excelente cobertura del seguro, pero el proceso de reclamos es complicado",3,Existente,Sur,,
41,2024-05-17,Seguro Familiar,App Móvil,"Perdí dinero con las inversiones, pésimo asesoramiento",1,Existente,Este,,
42,2024-10-17,Cuenta Digital,App Móvil,"Excelente servicio al cliente, muy rápida la aprobación del crédito",5,Existente,Este,,
43,2024-05-09,Seguro Familiar,Email,"La tarjeta se bloquea sin razón, tengo que llamar siempre",2,Existente,Centro,,
44,2024-02-13,Cuenta Digital,Sucursal,"Atención 24/7 excelente, siempre resuelven mis dudas rápido",4,Existente,Oeste,,
45,2024-09-26,Seguro Familiar,Email,Los asesores son muy profesionales y me explicaron todo claramente,4,Nuevo,Oeste,,
46,2024-03-01,Inversión Smart,Sucursal,"El proceso de apertura de cuenta fue súper rápido, todo digital",5,Existente,Centro,,
47,2024-06-15,Inversión Smart,Sitio Web,"La tarjeta se bloquea sin razón, tengo que llamar siempre",2,Existente,Sur,,
48,2024-08-04,Seguro Familiar,Sucursal,"La app está bien diseñada pero se cuelga mucho, deberían mejorar la estabilidad",3,Existente,Norte,,
49,2024-08-19,Seguro Familiar,Call Center,"Seguro con cobertura amplia y precio justo, lo recomiendo",5,Existente,Oeste,,
50,2024-01-13,Cuenta Digital,Sucursal,"La tarjeta tiene beneficios increíbles, cashback en todos lados",4,Existente,Sur,,
51,2024-10-04,Cuenta Digital,Sucursal,Los asesores son muy profesionales y me explicaron todo claramente,5,Existente,Centro,,
52,2024-11-12,Inversión Smart,Sitio Web,"La app es muy intuitiva y fácil de usar, me encanta la funcionalidad de transferencias",5,Nuevo,Norte,,
53,2024-08-13,Crédito Hipotecario,Sucursal,Los asesores son muy profesionales y me explicaron todo claramente,5,Existente,Centro,,
54,2024-12-27,Seguro Familiar,Sucursal,"El servicio al cliente es pésimo, nunca contestan el teléfono",1,Existente,Oeste,,
55,2024-08-18,Inversión Smart,Sucursal,"La app se cuelga constantemente, es muy frustrante",1,Existente,Oeste,,
56,2024-05-18,Seguro Familiar,Sucursal,"Producto innovador y atractivo, pero faltan más opciones de personalización",3,Existente,Este,,
57,2024-01-09,Cuenta Digital,Sitio Web,"La tarjeta tiene beneficios increíbles, cashback en todos lados",5,Existente,Este,,
58,2024-12-25,Tarjeta Oro Premium,Email,"Muy lentos para aprobar el préstamo, ya van 3 semanas esperando",1,Existente,Este,,
59,2024-05-07,Inversión Smart,App Móvil,"La app es muy intuitiva y fácil de usar, me encanta la funcionalidad de transferencias",5,Nuevo,Este,,
60,2024-12-17,Crédito Hipotecario,App Móvil,"Tasas muy competitivas comparado con otros bancos, estoy muy satisfecho",4,Existente,Oeste,,
61,2024-05-12,Cuenta Digital,Call Center,"La tarjeta tiene beneficios increíbles, cashback en todos lados",4,Existente,Sur,,
62,2024-03-12,Inversión Smart,Call Center,Sistema siempre en mantenimiento cuando lo necesito,1,Existente,Sur,,
63,2024-05-01,Seguro Familiar,Email,"Apertura de cuenta rápida online, pero luego piden muchos documentos físicos",3,Existente,Sur,,
64,2024-12-24,Inversión Smart,App Móvil,"Atención 24/7 excelente, siempre resuelven mis dudas rápido",5,Existente,Este,,
65,2024-02-06,Cuenta Digital,App Móvil,"Producto innovador y atractivo, pero faltan más opciones de personalización",3,Existente,Centro,,
66,2024-09-11,Cuenta Digital,App Móvil,"Las inversiones han dado buenos resultados, plataforma confiable",5,Existente,Oeste,,
67,2024-05-12,Seguro Familiar,Call Center,"Excelente servicio al cliente, muy rápida la aprobación del crédito",5,Existente,Sur,,
68,2024-12-05,Cuenta Digital,App Móvil,"Atención 24/7 excelente, siempre resuelven mis dudas rápido",4,Existente,Norte,,
69,2024-12-19,Tarjeta Oro Premium,Call Center,"Excelente cobertura del seguro, pero el proceso de reclamos es complicado",3,Nuevo,Centro,,
70,2024-08-28,Tarjeta Oro Premium,Sucursal,"El seguro no cubre lo que prometen, puras letra pequeñas",1,Existente,Este,,
71,2024-03-16,Cuenta Digital,Call Center,"Tasas competitivas para el crédito hipotecario, aunque las comisiones son altas",3,Existente,Sur,,
72,2024-07-06,Seguro Familiar,Sitio Web,"Excelente cobertura del seguro, pero el proceso de reclamos es complicado",3,Nuevo,Sur,,
73,2024-07-15,Inversión Smart,Sitio Web,"El seguro no cubre lo que prometen, puras letra pequeñas",1,Existente,Centro,,
74,2024-11-17,Tarjeta Oro Premium,Sucursal,"La tarjeta tiene beneficios increíbles, cashback en todos lados",5,Existente,Centro,,
75,2024-04-13,Cuenta Digital,Sitio Web,"La app está bien diseñada pero se cuelga mucho, deberían mejorar la estabilidad",3,Nuevo,Norte,,
76,2024-03-02,Inversión Smart,Sitio Web,Los asesores son muy profesionales y me explicaron todo claramente,4,Existente,Sur,,
77,2024-07-25,Cuenta Digital,Sitio Web,"El proceso de apertura de cuenta fue súper rápido, todo digital",4,Nuevo,Centro,,
78,2024-11-11,Inversión Smart,Email,Buenos productos financieros pero el servicio al cliente es lento,3,Existente,Oeste,,
79,2024-07-20,Tarjeta Oro Premium,Sitio Web,"Seguro con cobertura amplia y precio justo, lo recomiendo",4,Existente,Oeste,,
80,2024-01-04,Tarjeta Oro Premium,Email,"Perdí dinero con las inversiones, pésimo asesoramiento",2,Existente,Sur,,
81,2024-01-17,Seguro Familiar,Sucursal,"Excelente cobertura del seguro, pero el proceso de reclamos es complicado",3,Nuevo,Este,,
82,2024-05-16,Tarjeta Oro Premium,Call Center,"Tasas muy competitivas comparado con otros bancos, estoy muy satisfecho",5,Existente,Norte,,
83,2024-09-06,Crédito Hipotecario,Sitio Web,Buenos productos financieros pero el servicio al cliente es lento,3,Existente,Sur,,
84,2024-10-22,Inversión Smart,Sitio Web,"Cobran comisiones por todo, hasta por consultar el saldo",1,Existente,Oeste,,
85,2024-04-28,Inversión Smart,App Móvil,"Excelente servicio al cliente, muy rápida la aprobación del crédito",5,Existente,Este,,
86,2024-07-14,Seguro Familiar,Sitio Web,"Producto innovador y atractivo, pero faltan más opciones de personalización",3,Existente,Sur,,
87,2024-01-21,Seguro Familiar,Sitio Web,"El proceso de apertura de cuenta fue súper rápido, todo digital",4,Existente,Oeste,,
88,2024-04-13,Tarjeta Oro Premium,Call Center,Buenos productos financieros pero el servicio al cliente es lento,3,Existente,Este,,
89,2024-05-11,Cuenta Digital,Call Center,"Cobran comisiones por todo, hasta por consultar el saldo",2,Existente,Oeste,,
90,2024-07-21,Inversión Smart,Sitio Web,Plataforma de inversión robusta pero falta más información educativa,3,Nuevo,Oeste,,
91,2024-06-10,Tarjeta Oro Premium,Sucursal,"El servicio al cliente es pésimo, nunca contestan el teléfono",2,Existente,Sur,,
92,2024-06-19,Seguro Familiar,Email,"La app es muy intuitiva y fácil de usar, me encanta la funcionalidad de transferencias",5,Existente,Sur,,
93,2024-06-02,Seguro Familiar,Sucursal,"La app se cuelga constantemente, es muy frustrante",2,Existente,Centro,,
94,2024-08-05,Cuenta Digital,Call Center,"Cobran comisiones por todo, hasta por consultar el saldo",1,Existente,Este,,
95,2024-08-08,Inversión Smart,Sitio Web,Plataforma de inversión robusta pero falta más información educativa,3,Existente,Este,,
96,2024-12-02,Cuenta Digital,App Móvil,"Tasas competitivas para el crédito hipotecario, aunque las comisiones son altas",3,Existente,Norte,,
97,2024-05-15,Tarjeta Oro Premium,Call Center,"El servicio al cliente es pésimo, nunca contestan el teléfono",2,Nuevo,Centro,,
98,2024-11-17,Cuenta Digital,Sitio Web,"Tasas muy competitivas comparado con otros bancos, estoy muy satisfecho",5,Nuevo,Sur,,
99,2024-11-18,Seguro Familiar,Call Center,"La app está bien diseñada pero se cuelga mucho, deberían mejorar la estabilidad",3,Existente,Sur,,
100,2024-08-07,Inversión Smart,Sucursal,"Perdí dinero con las inversiones, pésimo asesoramiento",1,Existente,Este,,
101,2024-09-05,Crédito Hipotecario,App Móvil,Documentación excesiva y procesos muy burocráticos,1,Existente,Sur,,
102,2024-07-08,Crédito Hipotecario,Call Center,"El proceso de apertura de cuenta fue súper rápido, todo digital",4,Existente,Este,,
103,2024-04-13,Seguro Familiar,Sitio Web,"Excelente servicio al cliente, muy rápida la aprobación del crédito",4,Existente,Oeste,,
104,2024-02-17,Tarjeta Oro Premium,Call Center,"Cobran comisiones por todo, hasta por consultar el saldo",1,Existente,Oeste,,
105,2024-05-26,Seguro Familiar,App Móvil,Los asesores son muy profesionales y me explicaron todo claramente,5,Nuevo,Este,,
106,2024-10-13,Inversión Smart,App Móvil,Los asesores son muy profesionales y me explicaron todo claramente,4,Existente,Este,,
107,2024-05-27,Seguro Familiar,Sucursal,"Atención 24/7 excelente, siempre resuelven mis dudas rápido",4,Existente,Centro,,
108,2024-02-16,Cuenta Digital,Email,"Excelente cobertura del seguro, pero el proceso de reclamos es complicado",3,Existente,Sur,,
109,2024-05-05,Cuenta Digital,App Móvil,"El servicio al cliente es pésimo, nunca contestan el teléfono",2,Existente,Sur,,
110,2024-10-01,Crédito Hipotecario,Sucursal,"Excelente servicio al cliente, muy rápida la aprobación del crédito",5,Existente,Norte,,
111,2024-09-07,Crédito Hipotecario,App Móvil,"El seguro no cubre lo que prometen, puras letra pequeñas",2,Nuevo,Centro,,
112,2024-04-20,Cuenta Digital,App Móvil,"Producto innovador y atractivo, pero faltan más opciones de personalización",3,Existente,Sur,,
113,2024-03-20,Tarjeta Oro Premium,Sitio Web,"Perdí dinero con las inversiones, pésimo asesoramiento",1,Existente,Sur,,
114,2024-02-17,Tarjeta Oro Premium,Call Center,"Tasas de interés altísimas, no son competitivos para nada",1,Nuevo,Sur,,
115,2024-04-02,Tarjeta Oro Premium,Call Center,"Las inversiones han dado buenos resultados, plataforma confiable",5,Existente,Norte,,
116,2024-11-05,Crédito Hipotecario,Sucursal,"El seguro no cubre lo que prometen, puras letra pequeñas",2,Nuevo,Este,,
117,2024-12-04,Tarjeta Oro Premium,Call Center,"Producto innovador y atractivo, pero faltan más opciones de personalización",3,Nuevo,Centro,,
118,2024-02-16,Crédito Hipotecario,Email,"Atención 24/7 excelente, siempre resuelven mis dudas rápido",4,Existente,Norte,,
119,2024-02-23,Crédito Hipotecario,Email,Plataforma de inversión robusta pero falta más información educativa,3,Nuevo,Norte,,
120,2024-09-14,Crédito Hipotecario,Call Center,"El proceso de apertura de cuenta fue súper rápido, todo digital",4,Nuevo,Norte,,
121,2024-06-16,Tarjeta Oro Premium,Email,Documentación excesiva y procesos muy burocráticos,1,Existente,Norte,,
122,2024-03-27,Seguro Familiar,Sitio Web,Documentación excesiva y procesos muy burocráticos,1,Nuevo,Este,,
123,2024-10-25,Seguro Familiar,Sucursal,"Perdí dinero con las inversiones, pésimo asesoramiento",2,Existente,Este,,
124,2024-05-05,Seguro Familiar,Sucursal,"La app se cuelga constantemente, es muy frustrante",2,Existente,Sur,,
125,2024-04-15,Tarjeta Oro Premium,Sitio Web,"Perdí dinero con las inversiones, pésimo asesoramiento",2,Existente,Oeste,,
126,2024-02-19,Seguro Familiar,Email,"Perdí dinero con las inversiones, pésimo asesoramiento",2,Nuevo,Sur,,
127,2024-03-19,Crédito Hipotecario,Sitio Web,"Excelente cobertura del seguro, pero el proceso de reclamos es complicado",3,Nuevo,Sur,,
128,2024-12-20,Tarjeta Oro Premium,Call Center,"Perdí dinero con las inversiones, pésimo asesoramiento",1,Existente,Norte,,
129,2024-07-04,Seguro Familiar,Call Center,"El proceso de apertura de cuenta fue súper rápido, todo digital",5,Existente,Norte,,
130,2024-06-25,Inversión Smart,Call Center,Buenos productos financieros pero el servicio al cliente es lento,3,Existente,Sur,,
131,2024-07-28,Cuenta Digital,Call Center,La tarjeta tiene buenos beneficios pero el límite de crédito es bajo,3,Existente,Oeste,,
132,2024-02-27,Cuenta Digital,Email,"Cobran comisiones por todo, hasta por consultar el saldo",1,Nuevo,Centro,,
133,2024-11-09,Inversión Smart,App Móvil,La interfaz del homebanking es moderna y muy segura,4,Existente,Centro,,
134,2024-10-04,Tarjeta Oro Premium,Email,"Cobran comisiones por todo, hasta por consultar el saldo",1,Existente,Norte,,
135,2024-01-11,Cuenta Digital,Sucursal,"Tasas muy competitivas comparado con otros bancos, estoy muy satisfecho",5,Existente,Norte,,
136,2024-05-11,Crédito Hipotecario,Sitio Web,"La app se cuelga constantemente, es muy frustrante",1,Existente,Sur,,
137,2024-03-26,Tarjeta Oro Premium,App Móvil,Sistema siempre en mantenimiento cuando lo necesito,2,Existente,Oeste,,
138,2024-01-22,Crédito Hipotecario,App Móvil,"Apertura de cuenta rápida online, pero luego piden muchos documentos físicos",3,Existente,Centro,,
139,2024-05-23,Inversión Smart,Sitio Web,"La app es muy intuitiva y fácil de usar, me encanta la funcionalidad de transferencias",5,Nuevo,Sur,,
140,2024-01-04,Inversión Smart,Sucursal,"Las inversiones han dado buenos resultados, plataforma confiable",4,Existente,Centro,,
141,2024-07-28,Cuenta Digital,Sitio Web,"El seguro no cubre lo que prometen, puras letra pequeñas",1,Nuevo,Oeste,,
142,2024-12-23,Seguro Familiar,App Móvil,"Producto innovador y atractivo, pero faltan más opciones de personalización",3,Existente,Norte,,
143,2024-05-24,Inversión Smart,Call Center,"El seguro no cubre lo que prometen, puras letra pequeñas",1,Nuevo,Norte,,
144,2024-08-26,Seguro Familiar,Email,"La app es muy intuitiva y fácil de usar, me encanta la funcionalidad de transferencias",5,Existente,Sur,,
145,2024-01-07,Inversión Smart,App Móvil,"La app es muy intuitiva y fácil de usar, me encanta la funcionalidad de transferencias",5,Nuevo,Centro,,
146,2024-07-11,Cuenta Digital,Sitio Web,"El seguro no cubre lo que prometen, puras letra pequeñas",2,Nuevo,Este,,
147,2024-04-17,Tarjeta Oro Premium,Sucursal,Los asesores son muy profesionales y me explicaron todo claramente,5,Nuevo,Oeste,,
148,2024-06-22,Seguro Familiar,Call Center,"Atención presencial excelente, pero por teléfono son muy lentos",3,Existente,Centro,,
149,2024-08-03,Seguro Familiar,App Móvil,"Perdí dinero con las inversiones, pésimo asesoramiento",1,Nuevo,Oeste,,
150,2024-08-09,Cuenta Digital,App Móvil,"Seguro con cobertura amplia y precio justo, lo recomiendo",4,Existente,Sur,,
151,2024-11-02,Crédito Hipotecario,App Móvil,"Tasas muy competitivas comparado con otros bancos, estoy muy satisfecho",5,Existente,Oeste,,
152,2024-10-26,Seguro Familiar,App Móvil,"La app es muy intuitiva y fácil de usar, me encanta la funcionalidad de transferencias",5,Existente,Centro,,
153,2024-02-03,Seguro Familiar,Email,"La app es muy intuitiva y fácil de usar, me encanta la funcionalidad de transferencias",5,Existente,Norte,,
154,2024-07-16,Seguro Familiar,Call Center,"Buen rendimiento en las inversiones, aunque la interfaz podría ser más amigable",3,Existente,Norte,,
155,2024-01-16,Inversión Smart,Call Center,"Tasas muy competitivas comparado con otros bancos, estoy muy satisfecho",5,Existente,Centro,,
156,2024-08-07,Cuenta Digital,Call Center,"La tarjeta tiene beneficios increíbles, cashback en todos lados",4,Existente,Oeste,,
157,2024-10-03,Tarjeta Oro Premium,Email,"El servicio al cliente es pésimo, nunca contestan el teléfono",1,Existente,Oeste,,
158,2024-02-23,Seguro Familiar,Email,Los asesores son muy profesionales y me explicaron todo claramente,4,Existente,Sur,,
159,2024-07-08,Crédito Hipotecario,Email,La tarjeta tiene buenos beneficios pero el límite de crédito es bajo,3,Existente,Oeste,,
160,2024-08-17,Tarjeta Oro Premium,Email,Los asesores son muy profesionales y me explicaron todo claramente,5,Existente,Este,,
161,2024-12-14,Cuenta Digital,Email,"El proceso de apertura de cuenta fue súper rápido, todo digital",4,Nuevo,Este,,
162,2024-09-11,Crédito Hipotecario,Call Center,"Las inversiones han dado buenos resultados, plataforma confiable",5,Existente,Oeste,,
163,2024-12-28,Crédito Hipotecario,Email,Los asesores son muy profesionales y me explicaron todo claramente,5,Existente,Norte,,
164,2024-05-27,Tarjeta Oro Premium,Call Center,"El seguro no cubre lo que prometen, puras letra pequeñas",1,Existente,Oeste,,
165,2024-01-11,Seguro Familiar,Email,"La tarjeta se bloquea sin razón, tengo que llamar siempre",2,Existente,Norte,,
166,2024-08-18,Inversión Smart,Email,"La app es muy intuitiva y fácil de usar, me encanta la funcionalidad de transferencias",4,Existente,Centro,,
167,2024-09-09,Inversión Smart,Email,"Tasas de interés altísimas, no son competitivos para nada",2,Nuevo,Centro,,
168,2024-06-17,Seguro Familiar,Call Center,"Las inversiones han dado buenos resultados, plataforma confiable",4,Existente,Este,,
169,2024-05-22,Seguro Familiar,Call Center,Sistema siempre en mantenimiento cuando lo necesito,2,Nuevo,Oeste,,
170,2024-01-01,Cuenta Digital,Sitio Web,La tarjeta tiene buenos beneficios pero el límite de crédito es bajo,3,Nuevo,Este,,
171,2024-04-15,Inversión Smart,Sitio Web,"Las inversiones han dado buenos resultados, plataforma confiable",5,Existente,Norte,,
172,2024-01-22,Seguro Familiar,Call Center,"Excelente servicio al cliente, muy rápida la aprobación del crédito",4,Nuevo,Este,,
173,2024-12-24,Tarjeta Oro Premium,Sitio Web,"Producto innovador y atractivo, pero faltan más opciones de personalización",3,Nuevo,Norte,,
174,2024-11-19,Seguro Familiar,Call Center,"La app está bien diseñada pero se cuelga mucho, deberían mejorar la estabilidad",3,Existente,Sur,,
175,2024-09-10,Tarjeta Oro Premium,App Móvil,"Atención 24/7 excelente, siempre resuelven mis dudas rápido",4,Existente,Centro,,
176,2024-02-08,Crédito Hipotecario,Sitio Web,"La app está bien diseñada pero se cuelga mucho, deberían mejorar la estabilidad",3,Existente,Sur,,
177,2024-03-22,Seguro Familiar,Sucursal,"Excelente cobertura del seguro, pero el proceso de reclamos es complicado",3,Existente,Centro,,
178,2024-12-13,Inversión Smart,Sitio Web,"Tasas competitivas para el crédito hipotecario, aunque las comisiones son altas",3,Nuevo,Centro,,
179,2024-11-05,Inversión Smart,App Móvil,"La app está bien diseñada pero se cuelga mucho, deberían mejorar la estabilidad",3,Nuevo,Oeste,,
180,2024-04-22,Seguro Familiar,Sucursal,"Perdí dinero con las inversiones, pésimo asesoramiento",2,Existente,Centro,,
181,2024-11-18,Inversión Smart,Sucursal,"Cobran comisiones por todo, hasta por consultar el saldo",2,Existente,Norte,,
182,2024-01-03,Crédito Hipotecario,Call Center,"Buen rendimiento en las inversiones, aunque la interfaz podría ser más amigable",3,Existente,Norte,,
183,2024-08-27,Cuenta Digital,Sitio Web,"La tarjeta tiene beneficios increíbles, cashback en todos lados",4,Existente,Sur,,
184,2024-12-05,Cuenta Digital,Email,"El proceso de apertura de cuenta fue súper rápido, todo digital",4,Existente,Norte,,
185,2024-05-19,Crédito Hipotecario,App Móvil,"Seguro con cobertura amplia y precio justo, lo recomiendo",4,Existente,Centro,,
186,2024-01-05,Crédito Hipotecario,App Móvil,"Seguro con cobertura amplia y precio justo, lo recomiendo",4,Existente,Oeste,,
187,2024-02-26,Cuenta Digital,Email,"La tarjeta se bloquea sin razón, tengo que llamar siempre",1,Existente,Este,,
188,2024-03-01,Tarjeta Oro Premium,Call Center,"Perdí dinero con las inversiones, pésimo asesoramiento",2,Nuevo,Norte,,
189,2024-02-04,Cuenta Digital,Email,"Atención 24/7 excelente, siempre resuelven mis dudas rápido",5,Existente,Sur,,
190,2024-07-25,Inversión Smart,App Móvil,"La app se cuelga constantemente, es muy frustrante",2,Existente,Norte,,
191,2024-11-20,Inversión Smart,Sucursal,"La tarjeta tiene beneficios increíbles, cashback en todos lados",4,Nuevo,Sur,,
192,2024-03-14,Cuenta Digital,Email,"Tasas de interés altísimas, no son competitivos para nada",2,Nuevo,Norte,,
193,2024-10-20,Inversión Smart,Email,Sistema siempre en mantenimiento cuando lo necesito,2,Existente,Norte,,
194,2024-01-28,Cuenta Digital,Call Center,Los asesores son muy profesionales y me explicaron todo claramente,4,Existente,Este,,
195,2024-07-15,Inversión Smart,Sucursal,Los asesores son muy profesionales y me explicaron todo claramente,4,Nuevo,Norte,,
196,2024-03-09,Tarjeta Oro Premium,App Móvil,"Tasas de interés altísimas, no son competitivos para nada",2,Existente,Sur,,
197,2024-09-22,Crédito Hipotecario,App Móvil,"La app está bien diseñada pero se cuelga mucho, deberían mejorar la estabilidad",3,Nuevo,Norte,,
198,2024-06-21,Tarjeta Oro Premium,App Móvil,Plataforma de inversión robusta pero falta más información educativa,3,Existente,Norte,,
199,2024-09-13,Tarjeta Oro Premium,Email,"La tarjeta se bloquea sin razón, tengo que llamar siempre",2,Existente,Norte,,
200,2024-09-25,Tarjeta Oro Premium,Email,"Seguro con cobertura amplia y precio justo, lo recomiendo",5,Existente,Este,,
201,2024-01-16,Crédito Hipotecario,Sitio Web,"Excelente servicio al cliente, muy rápida la aprobación del crédito",4,Existente,Este,,
202,2024-06-18,Cuenta Digital,Call Center,"El proceso de apertura de cuenta fue súper rápido, todo digital",5,Existente,Centro,,
203,2024-02-02,Inversión Smart,Sitio Web,"Producto innovador y atractivo, pero faltan más opciones de personalización",3,Existente,Norte,,
204,2024-06-01,Inversión Smart,Call Center,Los asesores son muy profesionales y me explicaron todo claramente,4,Existente,Oeste,,
205,2024-10-14,Tarjeta Oro Premium,Sucursal,Los asesores son muy profesionales y me explicaron todo claramente,4,Existente,Centro,,
206,2024-05-03,Seguro Familiar,Sucursal,"La app es muy intuitiva y fácil de usar, me encanta la funcionalidad de transferencias",4,Existente,Norte,,
207,2024-01-28,Crédito Hipotecario,Sucursal,"Producto innovador y atractivo, pero faltan más opciones de personalización",3,Existente,Norte,,
208,2024-11-03,Cuenta Digital,Email,"Atención 24/7 excelente, siempre resuelven mis dudas rápido",4,Nuevo,Norte,,
209,2024-04-17,Seguro Familiar,Email,"Seguro con cobertura amplia y precio justo, lo recomiendo",4,Nuevo,Norte,,
210,2024-03-16,Cuenta Digital,App Móvil,"Las inversiones han dado buenos resultados, plataforma confiable",5,Existente,Sur,,
211,2024-06-18,Cuenta Digital,Call Center,"Tasas muy competitivas comparado con otros bancos, estoy muy satisfecho",4,Existente,Este,,
212,2024-09-05,Cuenta Digital,Call Center,"Muy lentos para aprobar el préstamo, ya van 3 semanas esperando",1,Existente,Centro,,
213,2024-12-22,Seguro Familiar,Sitio Web,La interfaz del homebanking es moderna y muy segura,5,Existente,Sur,,
214,2024-05-20,Seguro Familiar,App Móvil,"Tasas competitivas para el crédito hipotecario, aunque las comisiones son altas",3,Existente,Centro,,
215,2024-03-05,Tarjeta Oro Premium,Call Center,"Atención 24/7 excelente, siempre resuelven mis dudas rápido",4,Existente,Sur,,
